=\n>\n<\n;=\n>\n<\n
Beckenwassertemperaturregelung;Beckenwassertemperaturregelung
Menerga "B-Alarm" ausgelöst;Menerga "B-Alarm" ausgelöst
Menerga "A-Alarm" ausgelöst;Menerga "A-Alarm" ausgelöst
Aussentemperaturfreigabe;Aussentemperaturfreigabe
Raumtemperaturfreigabe;Raumtemperaturfreigabe
PASPE Appartment;PASPE Appartment
Winter;Winter
Sommer;Summer
Dampferzeuger;Steam generator
1000 ltr.;1000 ltr.
400 ltr.;400 ltr.
interne Pumpe;Internal Pump
EIN;EIN
verwende WEB Temp. Sollwert;use Visu Temp. Setpoint
SBC Y;SBC Y
Stufen autark geregelt. Es sei den UM Bef. Betrieb angefordert;Self-sufficient Level control. Controled by SAIA in HUMID.
Frostschutz;Frost protection
Entfeuchten;Dehumidifying
Menerga Y;Menerga Y
wird von SBC geregelt;controled by SBC
VE Uwp und Ventil;Heater Pump and Valve
Signal Menerga;Signal Menerga
BRM !!;RUN !!
ext. UML Bef. ;ext. CIRC Humid. 
Ventilatordrz. nach Thanos Bediengerät;Fanspeed manual by THANOS
Ventilatordrz. in Auto nach Raumkondition;Fanspeed auto by Roomcondition
Ventilatordrz. nach Abluftfeuchte;Fanspeed by Return Humidity
Dew;Dew
aF;aH
WhirlPool;WhirlPool
gesperrt;locked
freigegeben;enabled
Kühlkurve;Cool curve
Kühlen;cool
Heizen;heat
Cool Heatmode;Cool Heatmode
Radiator heizt;Radiator on
Radiator aus;Radiator off
Radiator;Radiator
Fenster;Window
Deckenhz./kh Ventil;Ceil. Heat- /Cool Vlv
Gesperrt;locked
Freigegeben;enabled
FbH;GfH
FbH Ventil;GfH Valve
Basis;Base
DeckV;CeilV
AT und Hum fehlt;OT and Hum missing
Soll T:;Set:
Ist T:;Mea:
T;T
rF;rH
VOC;VOC
Umschaltschwelle Sommer- /Winterbetrieb;Switchover Summer /Winter operation 
undicht;not airtight
dicht;airtight
Verteiler Heizung -> Verteiler Ceiling ;Main Distributor Heating -> Distr. Ceiling 
Pufferladung Entfeuchtung;Loading Buffer for Dehumidification
Pufferladung Raumkühlung;Loading Buffer for Room cooling
Unwirtschaftlich /Aus;uneconomical /switched off
Off Site;Off Site
BKT Wohnraum;GfH Livingroom
BKT Schwimmhalle;GfH Pool
EG R1;Gr.Fl. R1
UV 2;SwVlv 2
EG R9;Gr.Fl. R9
EG R13;Gr.Fl. R13
UV 5;Vlv 5
OG R2;1st.Fl. R2
OG R13;1st.Fl. R13
UV 6;Vlv 6
UV 3;Vlv 3
UV 4;Vlv 4
FROST !!;FROST !!
RLT aus bei VOC unter;Ventilation off by VOC below
Max VOC Wert Wohhaus;Max VOC Livingroom
VOC Sollwert;VOC Setpoint
Anzahl kühlender Räume;Number of cooling rooms
Kühlfreigabe;Cooling enabled
Anzahl heizender Räume;Number of heating rooms
Heizfreigabe;Heating enabled
 !!! No MODBUS Communication !!!; !!! No MODBUS Communication !!!
Regelung;Controller
autarke;self-sufficient
Kessel 2- Vitodens 100 WB1C;Boiler 2- Vitodens 100 WB1C
80/60 - 31,9 kW 50/30 - 35 kW;80/60 - 31,9 kW 50/30 - 35 kW
Kessel 1- Vitodens 200 B2HA-60;Boiler 1- Vitodens 200 B2HA-60
80/60 - 54,4 kW 50/30 - 60 kW;80/60 - 54,4 kW 50/30 - 60 kW
A.Alarm.PCD01_ALA.MyName_600;-
A.Alarm.PCD01_ALA.MyName_599;-
A.Alarm.PCD01_ALA.MyName_598;-
A.Alarm.PCD01_ALA.MyName_597;-
A.Alarm.PCD01_ALA.MyName_596;-
A.Alarm.PCD01_ALA.MyName_595;-
A.Alarm.PCD01_ALA.MyName_594;-
A.Alarm.PCD01_ALA.MyName_593;-
A.Alarm.PCD01_ALA.MyName_592;-
A.Alarm.PCD01_ALA.MyName_591;-
A.Alarm.PCD01_ALA.MyName_590;-
A.Alarm.PCD01_ALA.MyName_589;-
A.Alarm.PCD01_ALA.MyName_588;-
A.Alarm.PCD01_ALA.MyName_587;-
A.Alarm.PCD01_ALA.MyName_586;-
A.Alarm.PCD01_ALA.MyName_585;-
A.Alarm.PCD01_ALA.MyName_584;-
A.Alarm.PCD01_ALA.MyName_583;-
A.Alarm.PCD01_ALA.MyName_582;-
A.Alarm.PCD01_ALA.MyName_581;-
A.Alarm.PCD01_ALA.MyName_580;-
A.Alarm.PCD01_ALA.MyName_579;-
A.Alarm.PCD01_ALA.MyName_578;-
A.Alarm.PCD01_ALA.MyName_577;-
A.Alarm.PCD01_ALA.MyName_576;-
A.Alarm.PCD01_ALA.MyName_575;-
A.Alarm.PCD01_ALA.MyName_574;-
A.Alarm.PCD01_ALA.MyName_573;-
A.Alarm.PCD01_ALA.MyName_572;-
A.Alarm.PCD01_ALA.MyName_571;-
A.Alarm.PCD01_ALA.MyName_570;-
A.Alarm.PCD01_ALA.MyName_569;-
A.Alarm.PCD01_ALA.MyName_568;-
A.Alarm.PCD01_ALA.MyName_567;-
A.Alarm.PCD01_ALA.MyName_566;-
A.Alarm.PCD01_ALA.MyName_565;-
A.Alarm.PCD01_ALA.MyName_564;-
A.Alarm.PCD01_ALA.MyName_563;-
A.Alarm.PCD01_ALA.MyName_562;-
A.Alarm.PCD01_ALA.MyName_561;-
A.Alarm.PCD01_ALA.MyName_560;-
A.Alarm.PCD01_ALA.MyName_559;-
A.Alarm.PCD01_ALA.MyName_558;-
A.Alarm.PCD01_ALA.MyName_557;-
A.Alarm.PCD01_ALA.MyName_556;-
A.Alarm.PCD01_ALA.MyName_555;-
A.Alarm.PCD01_ALA.MyName_554;-
A.Alarm.PCD01_ALA.MyName_553;-
A.Alarm.PCD01_ALA.MyName_552;-
A.Alarm.PCD01_ALA.MyName_551;-
A.Alarm.PCD01_ALA.MyName_550;-
A.Alarm.PCD01_ALA.MyName_549;-
A.Alarm.PCD01_ALA.MyName_548;-
A.Alarm.PCD01_ALA.MyName_547;-
A.Alarm.PCD01_ALA.MyName_546;-
