PASPE Appartment;PASPE Appartment
#ÈÌß?;#ÈÌß?
"Menerga ""B-Alarm"" ausgelöst";"Menerga ""B-Alarm"" ausgelöst"
"Menerga ""A-Alarm"" ausgelöst";"Menerga ""A-Alarm"" ausgelöst"
Winter;Winter
Sommer;Sommer
Dampferzeuger;Dampferzeuger
1000 ltr.;1000 ltr.
400 ltr.;400 ltr.
interne Pumpe;interne Pumpe
EIN;EIN
verwende WEB Temp. Sollwert;verwende WEB Temp. Sollwert
SBC Y;SBC Y
Stufen autark geregelt. Es sei den UM Bef. Betrieb angefordert;Stufen autark geregelt. Es sei den UM Bef. Betrieb angefordert
Frostschutz;Frostschutz
Entfeuchten;Entfeuchten
Menerga Y;Menerga Y
wird von SBC geregelt;wird von SBC geregelt
VE Uwp und Ventil;VE Uwp und Ventil
Signal Menerga;Signal Menerga
BRM !!;BRM !!
ext. UML Bef. ;ext. UML Bef. 
Ventilatordrz. nach Thanos Bediengerät;Ventilatordrz. nach Thanos Bediengerät
Ventilatordrz. in Auto nach Raumkondition;Ventilatordrz. in Auto nach Raumkondition
Ventilatordrz. nach Abluftfeuchte;Ventilatordrz. nach Abluftfeuchte
Dew;Dew
aF;aF
WhirlPool;WhirlPool
gesperrt;gesperrt
freigegeben;freigegeben
Kühlkurve;Kühlkurve
Kühlen;Kühlen
Heizen;Heizen
Cool Heatmode;Cool Heatmode
Radiator heizt;Radiator heizt
Radiator aus;Radiator aus
Radiator;Radiator
Fenster;Fenster
Deckenhz./kh Ventil;Deckenhz./kh Ventil
Gesperrt;Gesperrt
Freigegeben;Freigegeben
FbH;FbH
FbH Ventil;FbH Ventil
Basis;Basis
DeckV;DeckV
AT und Hum fehlt;AT und Hum fehlt
Soll T:;Soll T:
Ist T:;Ist T:
T;T
rF;rF
VOC;VOC
Umschaltschwelle Sommer- /Winterbetrieb;Switchover Summer /Winter operation 
undicht;not airtight
dicht;airtight
Verteiler Heizung -> Verteiler Ceiling ;Main Distributor Heating -> Distr. Ceiling 
Pufferladung Entfeuchtung;Loading Buffer for Dehumidification
Pufferladung Raumkühlung;Loading Buffer for Room cooling
Unwirtschaftlich /Aus;uneconomical /switched off
Off Site;Off Site
BKT Wohnraum;GfH Livingroom
BKT Schwimmhalle;GfH Pool
EG R1;Gr.Fl. R1
UV 2;SwVlv 2
EG R9;Gr.Fl. R9
EG R13;Gr.Fl. R13
UV 5;Vlv 5
OG R2;1st.Fl. R2
OG R13;1st.Fl. R13
UV 6;Vlv 6
UV 3;Vlv 3
UV 4;Vlv 4
FROST !!;FROST !!
RLT aus bei VOC unter;Ventilation off by VOC below
Max VOC Wert Wohhaus;Max VOC Livingroom
VOC Sollwert;VOC Setpoint
Anzahl kühlender Räume;Number of cooling rooms
Kühlfreigabe;Cooling enabled
Anzahl heizender Räume;Number of heating rooms
Heizfreigabe;Heating enabled
 !!! No MODBUS Communication !!!; !!! No MODBUS Communication !!!
Regelung;Controlling
autarke;self-sufficient
Kessel 2- Vitodens 100 WB1C;Boiler 2- Vitodens 100 WB1C
80/60 - 31,9 kW 50/30 - 35 kW;80/60 - 31,9 kW 50/30 - 35 kW
Kessel 1- Vitodens 200 B2HA-60;Boilder 1- Vitodens 200 B2HA-60
80/60 - 54,4 kW 50/30 - 60 kW;80/60 - 54,4 kW 50/30 - 60 kW
A.Alarm.PCD01_ALA.MyName_600;-
A.Alarm.PCD01_ALA.MyName_599;-
A.Alarm.PCD01_ALA.MyName_598;-
A.Alarm.PCD01_ALA.MyName_597;-
A.Alarm.PCD01_ALA.MyName_596;-
A.Alarm.PCD01_ALA.MyName_595;-
A.Alarm.PCD01_ALA.MyName_594;-
A.Alarm.PCD01_ALA.MyName_593;-
A.Alarm.PCD01_ALA.MyName_592;-
A.Alarm.PCD01_ALA.MyName_591;-
A.Alarm.PCD01_ALA.MyName_590;-
A.Alarm.PCD01_ALA.MyName_589;-
A.Alarm.PCD01_ALA.MyName_588;-
A.Alarm.PCD01_ALA.MyName_587;-
A.Alarm.PCD01_ALA.MyName_586;-
A.Alarm.PCD01_ALA.MyName_585;-
A.Alarm.PCD01_ALA.MyName_584;-
A.Alarm.PCD01_ALA.MyName_583;-
A.Alarm.PCD01_ALA.MyName_582;-
A.Alarm.PCD01_ALA.MyName_581;-
A.Alarm.PCD01_ALA.MyName_580;-
A.Alarm.PCD01_ALA.MyName_579;-
A.Alarm.PCD01_ALA.MyName_578;-
A.Alarm.PCD01_ALA.MyName_577;-
A.Alarm.PCD01_ALA.MyName_576;-
A.Alarm.PCD01_ALA.MyName_575;-
A.Alarm.PCD01_ALA.MyName_574;-
A.Alarm.PCD01_ALA.MyName_573;-
A.Alarm.PCD01_ALA.MyName_572;-
A.Alarm.PCD01_ALA.MyName_571;-
A.Alarm.PCD01_ALA.MyName_570;-
A.Alarm.PCD01_ALA.MyName_569;-
A.Alarm.PCD01_ALA.MyName_568;-
A.Alarm.PCD01_ALA.MyName_567;-
A.Alarm.PCD01_ALA.MyName_566;-
A.Alarm.PCD01_ALA.MyName_565;-
A.Alarm.PCD01_ALA.MyName_564;-
A.Alarm.PCD01_ALA.MyName_563;-
A.Alarm.PCD01_ALA.MyName_562;-
A.Alarm.PCD01_ALA.MyName_561;-
A.Alarm.PCD01_ALA.MyName_560;-
A.Alarm.PCD01_ALA.MyName_559;-
A.Alarm.PCD01_ALA.MyName_558;-
A.Alarm.PCD01_ALA.MyName_557;-
A.Alarm.PCD01_ALA.MyName_556;-
A.Alarm.PCD01_ALA.MyName_555;-
A.Alarm.PCD01_ALA.MyName_554;-
A.Alarm.PCD01_ALA.MyName_553;-
A.Alarm.PCD01_ALA.MyName_552;-
A.Alarm.PCD01_ALA.MyName_551;-
A.Alarm.PCD01_ALA.MyName_550;-
A.Alarm.PCD01_ALA.MyName_549;-
A.Alarm.PCD01_ALA.MyName_548;-
A.Alarm.PCD01_ALA.MyName_547;-
A.Alarm.PCD01_ALA.MyName_546;-
A.Alarm.PCD01_ALA.MyName_545;-
A.Alarm.PCD01_ALA.MyName_544;-
A.Alarm.PCD01_ALA.MyName_543;-
A.Alarm.PCD01_ALA.MyName_542;-
A.Alarm.PCD01_ALA.MyName_541;-
A.Alarm.PCD01_ALA.MyName_540;-
A.Alarm.PCD01_ALA.MyName_539;-
A.Alarm.PCD01_ALA.MyName_538;-
A.Alarm.PCD01_ALA.MyName_537;-
A.Alarm.PCD01_ALA.MyName_536;-
A.Alarm.PCD01_ALA.MyName_535;-
A.Alarm.PCD01_ALA.MyName_534;-
A.Alarm.PCD01_ALA.MyName_533;-
A.Alarm.PCD01_ALA.MyName_532;-
A.Alarm.PCD01_ALA.MyName_531;-
A.Alarm.PCD01_ALA.MyName_530;-
A.Alarm.PCD01_ALA.MyName_529;-
A.Alarm.PCD01_ALA.MyName_528;-
A.Alarm.PCD01_ALA.MyName_527;-
A.Alarm.PCD01_ALA.MyName_526;-
A.Alarm.PCD01_ALA.MyName_525;-
A.Alarm.PCD01_ALA.MyName_524;-
A.Alarm.PCD01_ALA.MyName_523;-
A.Alarm.PCD01_ALA.MyName_522;-
A.Alarm.PCD01_ALA.MyName_521;-
A.Alarm.PCD01_ALA.MyName_520;-
A.Alarm.PCD01_ALA.MyName_519;-
A.Alarm.PCD01_ALA.MyName_518;-
A.Alarm.PCD01_ALA.MyName_517;-
