Novi WebPanels;Neustart des WebPanels
DEC_SYMB;.
LANG_SYMB;GER
PM_AM;0
Müller trgovina Ptuj Slovenija;Müller Markt Ptuj Slowenien
LogOut;LogOut
LogIn;LogIn
Behrschmidt;Behrschmidt
Müller;Müller
Branch;Filiale
Registracija;Anmelden
po eni uri;nach einer Stunde
samodejno odjavi ;automatisches Abmelden
Trgovina;Markt
Poletna temperatura;Sommerkompensation
Reset;Reset
Tableau -/+;Tableau -/+
Notranja temperatura;Raum IST Temperatur
Zeljena notranja temeratura;Raum SOLL Temperatur
Poletje;Winter
Zima;Sommer

